,BETA,Total loss,Reconstruction (MSE),KL div,Test MAE,Epochs,Training time,Activation,Batch size,Saved as,Seed,Output nodes
0,0.001,0.032074768,0.010453541,21.62123,0.07415643,30,2 mins 6s,swish,100,BETA=0.001_epochs=30_seed=0_output_nodes=1.hdf5,0,1
1,0.001,0.040230073,0.024544884,15.685188,0.112430654,60,4 mins 4s,swish,100,BETA=0.001_epochs=60_seed=0_output_nodes=1.hdf5,0,1
2,0.001,0.026435299,0.013517529,12.91777,0.085341446,90,6 mins 1s,swish,100,BETA=0.001_epochs=90_seed=0_output_nodes=1.hdf5,0,1
3,0.001,0.052753583,0.042545177,10.208407,0.14460301,120,7 mins 58s,swish,100,BETA=0.001_epochs=120_seed=0_output_nodes=1.hdf5,0,1
4,0.001,0.0098594325,0.0033139854,6.5454473,0.04224729,300,19 mins 5s,swish,100,BETA=0.001_epochs=300_seed=0_output_nodes=1.hdf5,0,1
5,0.001,0.0075268256,0.0023629088,5.1639166,0.031966783,600,37 mins 44s,swish,100,BETA=0.001_epochs=600_seed=0_output_nodes=1.hdf5,0,1
6,0.0010000000474974513,0.12907655537128448,0.08303701877593994,46.03952407836914,0.19009822607040405,30,1 mins 40s,swish,100,BETA=0.001_epochs=30_seed=0_output_nodes=5.hdf5,0,5
7,0.0010000000474974513,0.059809669852256775,0.02682638354599476,32.98328399658203,0.11613376438617706,60,3 mins 18s,swish,100,BETA=0.001_epochs=60_seed=0_output_nodes=5.hdf5,0,5
8,0.0010000000474974513,0.039706166833639145,0.012166542001068592,27.539621353149414,0.08737888187170029,90,4 mins 56s,swish,100,BETA=0.001_epochs=90_seed=0_output_nodes=5.hdf5,0,5
9,0.0010000000474974513,0.03603051230311394,0.010458312928676605,25.57219886779785,0.07878120243549347,120,6 mins 36s,swish,100,BETA=0.001_epochs=120_seed=0_output_nodes=5.hdf5,0,5
10,0.0010000000474974513,0.022175950929522514,0.005290256813168526,16.885692596435547,0.055152807384729385,300,16 mins 25s,swish,100,BETA=0.001_epochs=300_seed=0_output_nodes=5.hdf5,0,5
11,0.0010000000474974513,0.011430812068283558,0.002822201233357191,8.608610153198242,0.043263260275125504,600,32 mins 38s,swish,100,BETA=0.001_epochs=600_seed=0_output_nodes=5.hdf5,0,5
12,0.0010000000474974513,0.011116460897028446,0.0028880764730274677,8.228384971618652,0.03930264711380005,800,43 mins 38s,swish,100,BETA=0.001_epochs=800_seed=0_output_nodes=5.hdf5,0,5
13,0.0010000000474974513,0.010734867304563522,0.0026949725579470396,8.039894104003906,0.038784414529800415,1000,54 mins 52s,swish,100,BETA=0.001_epochs=1000_seed=0_output_nodes=5.hdf5,0,5
14,0.0010000000474974513,0.009442280977964401,0.0020013509783893824,7.440928936004639,0.03294787183403969,1200,66 mins 0s,swish,100,BETA=0.001_epochs=1200_seed=0_output_nodes=5.hdf5,0,5
