,BETA,Total loss,Reconstruction (MSE),KL div,Test MAE,Epochs,Training time,Activation,Batch size,Saved as,Seed,Output nodes
0,9.999999747378753e-05,0.15807266533374786,0.14406250417232513,140.10165405273438,0.24022021889686584,30,1 mins 39s,swish,100,BETA=0.0001_epochs=30_seed=0_output_nodes=5.hdf5,0,5
1,9.999999747378753e-05,0.0687997043132782,0.05847932025790215,103.203857421875,0.16572588682174685,60,3 mins 15s,swish,100,BETA=0.0001_epochs=60_seed=0_output_nodes=5.hdf5,0,5
2,9.999999747378753e-05,0.03903307393193245,0.030447643250226974,85.85429382324219,0.1215723305940628,90,4 mins 52s,swish,100,BETA=0.0001_epochs=90_seed=0_output_nodes=5.hdf5,0,5
3,9.999999747378753e-05,0.043547697365283966,0.03592391684651375,76.23778533935547,0.11314084380865096,120,6 mins 25s,swish,100,BETA=0.0001_epochs=120_seed=0_output_nodes=5.hdf5,0,5
4,9.999999747378753e-05,0.015596427023410797,0.009747511707246305,58.4891357421875,0.06999777257442474,300,15 mins 42s,swish,100,BETA=0.0001_epochs=300_seed=0_output_nodes=5.hdf5,0,5
5,9.999999747378753e-05,,,,,600,31 mins 37s,swish,100,BETA=0.0001_epochs=600_seed=0_output_nodes=5.hdf5,0,5
6,0.0010000000474974509,0.2637890875339508,0.206323117017746,57.46599578857422,0.3030741214752197,30,1 mins 35s,swish,100,BETA=0.001_epochs=30_seed=0_output_nodes=5.hdf5,0,5
7,0.0010000000474974509,0.140146404504776,0.09197649359703064,48.16991806030274,0.2001221925020218,60,3 mins 10s,swish,100,BETA=0.001_epochs=60_seed=0_output_nodes=5.hdf5,0,5
8,0.0010000000474974509,0.10699716955423356,0.06346727162599564,43.52988815307617,0.16884811222553253,90,4 mins 46s,swish,100,BETA=0.001_epochs=90_seed=0_output_nodes=5.hdf5,0,5
9,0.0010000000474974509,0.08536365628242493,0.044700965285301215,40.66268539428711,0.1495230793952942,120,6 mins 22s,swish,100,BETA=0.001_epochs=120_seed=0_output_nodes=5.hdf5,0,5
10,0.0010000000474974509,0.04486577957868576,0.014643600210547447,30.22218132019043,0.08768367022275925,300,15 mins 50s,swish,100,BETA=0.001_epochs=300_seed=0_output_nodes=5.hdf5,0,5
11,0.0010000000474974509,0.02586435340344906,0.009702994488179684,16.16135597229004,0.0737965852022171,600,31 mins 33s,swish,100,BETA=0.001_epochs=600_seed=0_output_nodes=5.hdf5,0,5
12,0.009999999776482582,0.4728643894195557,0.3413356840610504,13.152871131896973,0.38800832629203796,30,1 mins 33s,swish,100,BETA=0.01_epochs=30_seed=0_output_nodes=5.hdf5,0,5
13,0.009999999776482582,0.2411032468080521,0.12833271920681,11.277052879333494,0.23736630380153656,60,3 mins 7s,swish,100,BETA=0.01_epochs=60_seed=0_output_nodes=5.hdf5,0,5
14,0.009999999776482582,0.19064649939537048,0.0895727351307869,10.107379913330078,0.17971590161323547,90,4 mins 40s,swish,100,BETA=0.01_epochs=90_seed=0_output_nodes=5.hdf5,0,5
15,0.009999999776482582,0.1755637526512146,0.08385183662176132,9.171189308166504,0.16717757284641266,120,6 mins 15s,swish,100,BETA=0.01_epochs=120_seed=0_output_nodes=5.hdf5,0,5
16,0.009999999776482582,0.09633839875459672,0.029244221746921536,6.709418296813965,0.1082879602909088,300,15 mins 37s,swish,100,BETA=0.01_epochs=300_seed=0_output_nodes=5.hdf5,0,5
17,0.009999999776482582,0.07710890471935272,0.01742299273610115,5.9685916900634775,0.0973854586482048,600,31 mins 21s,swish,100,BETA=0.01_epochs=600_seed=0_output_nodes=5.hdf5,0,5
18,0.0010000000474974509,0.0636516809463501,0.02015136741101741,43.50032043457031,0.09137708693742752,30,1 mins 34s,swish,100,BETA=0.001_epochs=30_seed=0_output_nodes=1.hdf5,0,1
19,0.0010000000474974509,0.04720205441117287,0.013343885540962221,33.85816192626953,0.08293362706899643,60,3 mins 8s,swish,100,BETA=0.001_epochs=60_seed=0_output_nodes=1.hdf5,0,1
20,0.0010000000474974509,0.034261737018823624,0.008552799001336098,25.70893669128418,0.06122824549674988,90,4 mins 41s,swish,100,BETA=0.001_epochs=90_seed=0_output_nodes=1.hdf5,0,1
21,0.0010000000474974509,0.031026232987642288,0.008960654959082603,22.065580368041992,0.06098523736000061,120,6 mins 15s,swish,100,BETA=0.001_epochs=120_seed=0_output_nodes=1.hdf5,0,1
22,0.0010000000474974509,0.02069741673767567,0.003114721970632673,17.582693099975586,0.04254746064543724,300,15 mins 44s,swish,100,BETA=0.001_epochs=300_seed=0_output_nodes=1.hdf5,0,1
23,0.0010000000474974509,,,,,600,31 mins 27s,swish,100,BETA=0.001_epochs=600_seed=0_output_nodes=1.hdf5,0,1
24,0.004999999888241291,0.114641010761261,0.030583934858441363,16.811416625976562,0.1262095719575882,30,1 mins 32s,swish,100,BETA=0.005_epochs=30_seed=0_output_nodes=1.hdf5,0,1
25,0.004999999888241291,0.07788912951946259,0.02159586176276207,11.258654594421387,0.12212000042200087,60,3 mins 5s,swish,100,BETA=0.005_epochs=60_seed=0_output_nodes=1.hdf5,0,1
26,0.004999999888241291,0.05881263315677643,0.015918051823973656,8.578915596008299,0.10481958836317062,90,4 mins 38s,swish,100,BETA=0.005_epochs=90_seed=0_output_nodes=1.hdf5,0,1
27,0.004999999888241291,0.04613403230905533,0.008072653785347939,7.612276077270508,0.07916505634784697,120,6 mins 11s,swish,100,BETA=0.005_epochs=120_seed=0_output_nodes=1.hdf5,0,1
28,0.004999999888241291,0.045567478984594345,0.011924433521926405,6.72860860824585,0.0701984390616417,300,15 mins 33s,swish,100,BETA=0.005_epochs=300_seed=0_output_nodes=1.hdf5,0,1
29,0.004999999888241291,0.04029848426580429,0.008078915067017078,6.44391393661499,0.0673656165599823,600,31 mins 25s,swish,100,BETA=0.005_epochs=600_seed=0_output_nodes=1.hdf5,0,1
30,0.009999999776482582,2.4448330402374268,2.4414236545562744,0.3409440517425537,1.3468284606933594,6,0 mins 29s,swish,100,BETA=0.01_epochs=6_seed=0_output_nodes=50.hdf5,0,50
31,0.009999999776482582,2.4448330402374268,2.4414236545562744,0.3409440517425537,1.3468284606933594,6,0 mins 30s,swish,100,BETA=0.01_epochs=6_seed=0_output_nodes=50.hdf5,0,50
32,0.009999999776482582,2.4448330402374268,2.4414236545562744,0.3409440517425537,1.3468284606933594,6,0 mins 28s,swish,100,BETA=0.01_epochs=6_seed=0_output_nodes=50.hdf5,0,50
33,0.009999999776482582,,,,,600,87 mins 46s,swish,100,BETA=0.01_epochs=600_seed=0_output_nodes=50.hdf5,0,50
